,importance,name
730,0.0003265604830797454,"sensor0__linear_trend__attr_""intercept"""
44,0.00032584263060056565,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8"
257,0.0003233872790448729,"sensor0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
140,0.0003225508090698851,"sensor0__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)"
704,0.00032101981288096845,"sensor3__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)"
1025,0.0003204874017401845,"sensor1__fft_coefficient__attr_""abs""__coeff_10"
1194,0.00031972312153638035,"sensor3__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)"
655,0.00031820005815567584,sensor0__time_reversal_asymmetry_statistic__lag_1
93,0.00031658825379360107,"sensor2__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
216,0.0003146761813941651,"sensor2__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
687,0.00031390985343314487,sensor0__time_reversal_asymmetry_statistic__lag_2
64,0.00031017686734431373,"sensor0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var"""
1292,0.0003056715689711152,sensor1__variation_coefficient
171,0.00030533490032239144,"sensor2__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
306,0.0003014334354276625,sensor0__quantile__q_0.8
103,0.000300789039661792,"sensor0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0"
705,0.00029967017310662336,"sensor1__fft_aggregated__aggtype_""kurtosis"""
907,0.0002974213280375188,"sensor3__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
90,0.0002963513226083917,sensor0__binned_entropy__max_bins_10
270,0.00029592091081170674,sensor2__friedrich_coefficients__coeff_3__m_3__r_30
727,0.00029534868770161583,"sensor3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
484,0.0002916969987963873,"sensor3__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
149,0.00029056835615046334,sensor2__mean
661,0.0002896573934351282,"sensor2__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min"""
841,0.0002882326427807001,"sensor1__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2"
311,0.00028688435069635504,"sensor1__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
1016,0.0002859197922228152,"sensor3__fft_coefficient__attr_""imag""__coeff_3"
498,0.00028479577079138825,"sensor3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
16,0.000281273272591643,"sensor1__linear_trend__attr_""slope"""
